ID,Sales
T1188341,56829.04519688082
T1188342,34059.117810144555
T1188343,57672.13584318245
T1188344,33018.58727763966
T1188345,33641.5926219183
T1188346,57672.27493293933
T1188347,56829.3929212729
T1188348,43435.47738027759
T1188349,47890.90287863393
T1188350,28419.902193777263
T1188351,48100.02630441217
T1188352,33642.218525823904
T1188353,33217.070337019395
T1188354,37682.99711201759
T1188355,38526.0182134409
T1188356,29415.09560395265
T1188357,44059.80407724599
T1188358,18775.520926750265
T1188359,34060.160983321024
T1188360,48943.67330974131
T1188361,23973.667598180706
T1188362,33881.78737261356
T1188363,38526.6441173465
T1188364,23972.207155733835
T1188365,33869.47792913276
T1188366,28997.50087084784
T1188367,33641.38398728287
T1188368,28615.186188749503
T1188369,33641.24489752599
T1188370,47252.60303516453
T1188371,33639.57582044392
T1188372,48097.59223366738
T1188373,28569.43179714936
T1188374,29412.452898572665
T1188375,57670.25813146494
T1188376,56629.65805408172
T1188377,29403.48160925624
T1188378,33640.062634592876
T1188379,24396.451261118986
T1188380,57670.5363109787
T1188381,28995.48406937369
T1188382,33641.314442404546
T1188383,29458.833194078412
T1188384,28995.692704008892
T1188385,38106.754403253784
T1188386,33215.05353554501
T1188387,57671.02312512766
T1188388,57253.706571536604
T1188389,28616.368451682618
T1188390,69702.72363827284
T1188391,33215.40125993732
T1188392,46836.74692402035
T1188393,57661.14775239164
T1188394,43632.77817672398
T1188395,33215.609894572524
T1188396,57670.7449456139
T1188397,33217.55715116835
T1188398,37687.51752911508
T1188399,33643.26169900037
T1188400,44062.58587238286
T1188401,34062.80368870101
T1188402,18155.01919809496
T1188403,57675.891266617225
T1188404,34063.01232333621
T1188405,33645.69576974516
T1188406,20735.238670819905
T1188407,56833.21788958623
T1188408,33022.62088058819
T1188409,40607.11316983891
T1188410,21358.80037412583
T1188411,56817.84847145481
T1188412,18778.094087251928
T1188413,33220.547580940416
T1188414,23977.00575234508
T1188415,33646.32167365099
T1188416,37687.030714966124
T1188417,48104.33808687446
T1188418,33023.246784494026
T1188419,47259.696612763684
T1188420,57259.61788620241
T1188421,18156.27100590663
T1188422,46842.51914892928
T1188423,57252.38521884638
T1188424,33221.38211948145
T1188425,33647.01712243515
T1188426,33220.61712581897
T1188427,57258.15744375554
T1188428,33645.139410717646
T1188429,57660.86957287812
T1188430,47256.428003477864
T1188431,33217.83533068211
T1188432,19193.672018882353
T1188433,56830.92290859809
T1188434,33020.325899600284
T1188435,29044.78524977318
T1188436,47256.845272748265
T1188437,57256.76654618699
T1188438,21356.6444828948
T1188439,46414.10235083895
T1188440,33644.02669266309
T1188441,28985.817331272876
T1188442,34061.48233601102
T1188443,33218.60032434459
T1188444,38527.82638027985
T1188445,34061.69097064622
T1188446,23793.46982079954
T1188447,57674.77854856243
T1188448,56831.896536896005
T1188449,33644.583051690366
T1188450,33021.36907277652
T1188451,48945.55102145858
T1188452,19194.99337157258
T1188453,47257.95799080306
T1188454,29000.143576227827
T1188455,57675.33490758971
T1188456,20932.26128775277
T1188457,23776.227711977437
T1188458,34056.753284278326
T1188459,57665.80725924601
T1188460,18148.760159037076
T1188461,43625.19778497587
T1188462,33633.59496089979
T1188463,18340.91463448014
T1188464,47246.830810255604
T1188465,34051.1896940046
T1188466,29406.472039028304
T1188467,23365.65199056687
T1188468,33008.01645611948
T1188469,33208.44677209505
T1188470,19184.283460295526
T1188471,33634.15131992707
T1188472,38100.425819317345
T1188473,38099.660825654864
T1188474,44051.528236713726
T1188475,19184.631184687605
T1188476,43428.45334755699
T1188477,33011.28506540554
T1188478,33209.072676000884
T1188479,19184.90936420136
T1188480,43626.44959278754
T1188481,47895.00602646102
T1188482,38101.121268101735
T1188483,48092.86318193469
T1188484,47891.38969278289
T1188485,23965.809026919072
T1188486,18342.375076927012
T1188487,33030.21225114446
T1188488,33207.820868189214
T1188489,33633.316781386035
T1188490,47893.40649425727
T1188491,33206.012701350264
T1188492,28561.29504637397
T1188493,29002.299467458855
T1188494,48089.59457264887
T1188495,25943.437392547028
T1188496,44049.09416596894
T1188497,23363.635189092485
T1188498,33631.43906966853
T1188499,33631.99542869604
T1188500,56621.729937941534
T1188501,29404.733417067677
T1188502,33632.20406333124
T1188503,28364.20288456278
T1188504,28561.99049515836
T1188505,28987.625498111825
T1188506,47245.579002443934
T1188507,33009.26826393115
T1188508,33632.62133260188
T1188509,25518.776017891476
T1188510,33632.76042235852
T1188511,28988.04276738246
T1188512,38516.49056509696
T1188513,29034.075338496128
T1188514,33008.08600099804
T1188515,57245.98709003162
T1188516,33633.108146750834
T1188517,46828.88835275872
T1188518,33011.91096931114
T1188519,47252.39440052933
T1188520,18144.796100966865
T1188521,48936.23200775008
T1188522,33211.993560894625
T1188523,23968.382187420735
T1188524,37480.61953944643
T1188525,57668.102240233915
T1188526,23968.590822055936
T1188527,33212.341285286704
T1188528,28415.799045950407
T1188529,47244.11855999706
T1188530,33212.48037504358
T1188531,48521.55815953901
T1188532,33014.901399083436
T1188533,33638.254467753926
T1188534,33637.48947409121
T1188535,56825.70704271644
T1188536,57668.79768901807
T1188537,57251.48113542702
T1188538,57251.55068030534
T1188539,44055.90956405434
T1188540,38522.33233488444
T1188541,33213.24536870606
T1188542,57669.21495828871
T1188543,33213.38445846294
T1188544,33015.73593762447
T1188545,33630.95225551957
T1188546,26368.12570325099
T1188547,33015.87502738135
T1188548,48096.27088097739
T1188549,23968.1735527853
T1188550,34054.73648280394
T1188551,33013.997315663844
T1188552,19185.743902742397
